Year,Month,Day,State,Event Type
1950,June,15,MINNESOTA,Tornado
1951,June,19,MINNESOTA,Tornado
1951,June,19,MINNESOTA,Tornado
1951,June,25,MINNESOTA,Tornado
1951,July,20,MINNESOTA,Tornado
1952,June,23,MINNESOTA,Tornado
1952,June,23,MINNESOTA,Tornado
1952,June,23,MINNESOTA,Tornado
1952,June,23,MINNESOTA,Tornado
1952,June,24,MINNESOTA,Tornado
1952,June,24,MINNESOTA,Tornado
1952,July,2,MINNESOTA,Tornado
1952,July,16,MINNESOTA,Tornado
1952,July,27,MINNESOTA,Tornado
1952,August,27,MINNESOTA,Tornado
1952,June,23,MINNESOTA,Tornado
1953,May,10,MINNESOTA,Tornado
1953,June,7,MINNESOTA,Tornado
1953,June,20,MINNESOTA,Tornado
1953,July,25,MINNESOTA,Tornado
1953,August,18,MINNESOTA,Tornado
1953,March,21,MINNESOTA,Tornado
1953,May,10,MINNESOTA,Tornado
1953,May,10,MINNESOTA,Tornado
1953,May,10,MINNESOTA,Tornado
1953,May,10,MINNESOTA,Tornado
1954,May,30,MINNESOTA,Tornado
1954,June,14,MINNESOTA,Tornado
1954,June,17,MINNESOTA,Tornado
1954,June,25,MINNESOTA,Tornado
1954,July,6,MINNESOTA,Tornado
1954,August,15,MINNESOTA,Tornado
1954,August,15,MINNESOTA,Tornado
1955,April,27,MINNESOTA,Tornado
1955,September,16,MINNESOTA,Tornado
1955,April,20,MINNESOTA,Thunderstorm Wind
1955,April,27,MINNESOTA,Hail
1955,April,27,MINNESOTA,Thunderstorm Wind
1955,April,27,MINNESOTA,Hail
1955,May,3,MINNESOTA,Thunderstorm Wind
1955,June,5,MINNESOTA,Thunderstorm Wind
1955,April,19,MINNESOTA,Tornado
1955,July,30,MINNESOTA,Thunderstorm Wind
1955,July,30,MINNESOTA,Thunderstorm Wind
1955,July,31,MINNESOTA,Thunderstorm Wind
1955,August,23,MINNESOTA,Hail
1955,August,23,MINNESOTA,Thunderstorm Wind
1955,August,24,MINNESOTA,Hail
1955,August,24,MINNESOTA,Thunderstorm Wind
1955,August,28,MINNESOTA,Thunderstorm Wind
1955,September,16,MINNESOTA,Hail
1955,September,16,MINNESOTA,Tornado
1955,July,29,MINNESOTA,Thunderstorm Wind
1955,September,17,MINNESOTA,Tornado
1955,June,18,MINNESOTA,Tornado
1955,June,28,MINNESOTA,Hail
1955,June,28,MINNESOTA,Thunderstorm Wind
1955,June,30,MINNESOTA,Tornado
1955,June,30,MINNESOTA,Tornado
1955,July,1,MINNESOTA,Thunderstorm Wind
1955,July,2,MINNESOTA,Tornado
1955,July,2,MINNESOTA,Hail
1955,July,3,MINNESOTA,Hail
1955,July,3,MINNESOTA,Thunderstorm Wind
1955,July,3,MINNESOTA,Tornado
1955,July,3,MINNESOTA,Hail
1955,July,7,MINNESOTA,Tornado
1955,July,7,MINNESOTA,Tornado
1955,July,11,MINNESOTA,Hail
1955,July,28,MINNESOTA,Thunderstorm Wind
1955,July,29,MINNESOTA,Hail
1955,July,29,MINNESOTA,Thunderstorm Wind
1955,July,7,MINNESOTA,Thunderstorm Wind
1956,August,15,MINNESOTA,Hail
1956,June,21,MINNESOTA,Thunderstorm Wind
1956,June,22,MINNESOTA,Thunderstorm Wind
1956,June,22,MINNESOTA,Thunderstorm Wind
1956,June,22,MINNESOTA,Thunderstorm Wind
1956,June,25,MINNESOTA,Tornado
1956,June,25,MINNESOTA,Hail
1956,June,25,MINNESOTA,Thunderstorm Wind
1956,June,29,MINNESOTA,Hail
1956,June,29,MINNESOTA,Tornado
1956,June,30,MINNESOTA,Tornado
1956,June,30,MINNESOTA,Thunderstorm Wind
1956,June,30,MINNESOTA,Thunderstorm Wind
1956,July,5,MINNESOTA,Hail
1956,July,14,MINNESOTA,Hail
1956,July,14,MINNESOTA,Hail
1956,July,14,MINNESOTA,Thunderstorm Wind
1956,July,17,MINNESOTA,Tornado
1956,July,18,MINNESOTA,Hail
1956,July,18,MINNESOTA,Tornado
1956,August,12,MINNESOTA,Thunderstorm Wind
1956,August,17,MINNESOTA,Hail
1956,August,28,MINNESOTA,Hail
1956,August,28,MINNESOTA,Thunderstorm Wind
1956,August,28,MINNESOTA,Thunderstorm Wind
