,Name,Date,Total Monthly Precipitation,Total Montly Snowfall (mm),Avg Monthly Temp,Monthly Mean Max Temp,Monthly Mean Min Temp
0,"ADA, MN US",1950-01,1.30,,,,-16.4
1,"ADA, MN US",1950-02,0.10,1.0,7.1,19.1,-5.0
2,"ADA, MN US",1950-03,1.14,0.3,19.5,29.5,9.4
3,"ADA, MN US",1950-04,,,32.8,41.0,24.7
4,"ADA, MN US",1950-05,5.21,0.0,51.8,61.6,42.0
5,"ADA, MN US",1950-06,4.44,0.0,,,
6,"ADA, MN US",1950-08,1.84,0.0,65.2,78.8,51.6
7,"ADA, MN US",1950-09,2.24,0.0,62.1,74.6,49.7
8,"ADA, MN US",1950-10,0.99,0.5,48.5,59.5,37.4
9,"ADA, MN US",1950-11,1.00,0.0,24.4,33.1,15.8
10,"ADA, MN US",1950-12,0.16,0.0,7.2,16.3,-1.8
11,"ADA, MN US",1951-01,0.44,0.0,2.9,12.6,-6.8
12,"ADA, MN US",1951-02,0.86,7.5,14.6,22.8,6.5
13,"ADA, MN US",1951-03,1.19,,18.1,27.8,8.5
14,"ADA, MN US",1951-04,0.85,,40.8,50.6,31.0
15,"ADA, MN US",1951-05,1.44,0.0,59.5,73.9,45.1
16,"ADA, MN US",1951-06,1.85,0.0,61.9,73.9,49.9
17,"ADA, MN US",1951-07,1.40,0.0,69.0,82.8,55.2
18,"ADA, MN US",1951-08,6.68,0.0,65.2,75.4,54.9
19,"ADA, MN US",1951-09,1.56,0.0,55.3,65.7,44.9
20,"ADA, MN US",1951-10,1.13,5.0,45.3,55.6,34.9
21,"ADA, MN US",1951-11,,,20.8,29.3,12.4
22,"ADA, MN US",1951-12,1.02,,6.9,15.0,-1.1
23,"ADA, MN US",1952-01,,,3.5,14.4,-7.3
24,"ADA, MN US",1952-02,0.00,0.0,18.3,26.6,9.9
25,"ADA, MN US",1952-03,0.43,0.0,22.7,30.8,14.6
26,"ADA, MN US",1952-04,0.19,0.0,48.5,61.7,35.2
27,"ADA, MN US",1952-05,0.74,0.0,57.1,71.9,42.3
28,"ADA, MN US",1952-06,1.60,0.0,68.2,81.3,55.0
29,"ADA, MN US",1952-07,8.14,0.0,70.0,82.5,57.5
30,"ADA, MN US",1952-08,3.38,0.0,68.3,80.8,55.8
31,"ADA, MN US",1952-09,0.36,0.0,62.9,75.8,49.9
32,"ADA, MN US",1952-10,0.09,0.0,42.9,56.3,29.4
33,"ADA, MN US",1952-11,2.30,0.0,32.3,41.6,23.0
34,"ADA, MN US",1952-12,0.22,3.6,20.3,28.1,12.5
35,"ADA, MN US",1953-01,0.49,5.2,12.2,20.6,3.8
36,"ADA, MN US",1953-02,0.76,7.5,17.0,27.0,7.0
37,"ADA, MN US",1953-03,0.78,4.0,28.9,38.3,19.6
38,"ADA, MN US",1953-04,1.60,0.0,39.3,48.7,30.0
39,"ADA, MN US",1953-05,3.47,0.0,55.7,68.2,43.1
40,"ADA, MN US",1953-06,6.00,0.0,65.9,77.3,54.6
41,"ADA, MN US",1953-07,2.56,0.0,70.2,82.1,58.4
42,"ADA, MN US",1953-08,2.88,0.0,72.3,84.3,60.3
43,"ADA, MN US",1953-09,1.50,0.0,59.6,72.5,46.8
44,"ADA, MN US",1953-10,0.99,0.0,54.5,67.4,41.6
45,"ADA, MN US",1953-11,1.33,12.5,34.8,43.9,25.8
46,"ADA, MN US",1953-12,1.03,8.9,15.1,25.2,5.0
47,"ADA, MN US",1954-01,0.96,10.1,-1.6,9.0,-12.1
48,"ADA, MN US",1954-02,0.26,2.0,,34.7,
49,"ADA, MN US",1954-03,0.58,5.8,24.7,33.4,16.0
50,"ADA, MN US",1954-04,1.52,0.0,41.9,53.3,30.5
51,"ADA, MN US",1954-05,1.73,2.5,50.9,63.5,38.3
52,"ADA, MN US",1954-06,2.81,0.0,66.0,77.9,54.1
53,"ADA, MN US",1954-07,3.38,0.0,71.9,84.4,59.4
54,"ADA, MN US",1954-08,1.90,0.0,68.9,81.7,56.1
55,"ADA, MN US",1954-09,2.09,0.0,57.6,67.7,47.6
