"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN","WDMV"
"USC00211630","CLOQUET, MN US","1950-07","55","0","0","37","0","0.0","0.61","88","98","3.41","0.0","62.9","76.1","49.7",
"USC00211630","CLOQUET, MN US","1950-08","76","0","0","31","0","0.0","0.78","90","306","2.33","0.0","59.0","73.3","44.6",
"USC00211630","CLOQUET, MN US","1950-09","77","0","0","25","0","0.0","0.63","80","589","1.70","0.0","55.6","67.8","43.3",
"USC00211630","CLOQUET, MN US","1950-10","77","0","0","26","0","0.0","1.91","73","1169","3.97","0.0","46.3","56.8","35.9",
"USC00211630","CLOQUET, MN US","1950-11","77",,"4","-8",,"3.2","0.95","61","2420","1.88","10.4","23.3","31.8","14.8",
"USC00211630","CLOQUET, MN US","1950-12","77",,"9","-23",,"16.5","0.81","40","4164","2.33","37.2","8.7","18.7","-1.2",
"USC00211630","CLOQUET, MN US","1951-01","0",,"5","-37",,"4.2","0.21","35","5985","0.61","13.9","6.3","17.4","-4.8",
"USC00211630","CLOQUET, MN US","1951-02","0",,"5","-32",,"4.5","0.63","43","7434","1.59","16.4","13.2","23.0","3.5",
"USC00211630","CLOQUET, MN US","1951-03","0","31","7","-16","36","9.8","0.64","46","8847","2.40","32.3","19.4","29.5","9.4",
"USC00211630","CLOQUET, MN US","1951-04","0","21","2","12","25","1.7","0.63","75","9651","2.11","3.3","38.2","48.6","27.8",
"USC00211630","CLOQUET, MN US","1951-05","0","0","0","21","0","0.0","0.93","80","9983","2.66","0.0","54.3","69.2","39.4",
"USC00211630","CLOQUET, MN US","1951-06","5","0","0","29","0","0.0","2.04","82","10193","4.87","0.0","58.1","70.4","45.8",
"USC00211630","CLOQUET, MN US","1951-07","87","0","0","38","0","0.0","3.58","89","73","5.21","0.0","65.3","78.9","51.6",
"USC00211630","CLOQUET, MN US","1951-08","95","0","0","34","0","0.0","1.05","82","241","4.76","0.0","59.8","69.9","49.8",
"USC00211630","CLOQUET, MN US","1951-09","95","0","0","27","0","0.0","2.11","79","630","6.33","0.0","52.0","62.4","41.7",
"USC00211630","CLOQUET, MN US","1951-10","95","2","1","10","10","10.6","0.95","74","1320","3.35","10.9","42.8","52.1","33.5",
"USC00211630","CLOQUET, MN US","1951-11","95","26","3","-10","9","2.5","0.50","49","2545","1.33","5.6","21.2","30.8","11.7",
"USC00211630","CLOQUET, MN US","1951-12","95",,"7","-19",,"6.3","0.46","52","4200","1.78","19.9","11.6","19.9","3.3",
"USC00211630","CLOQUET, MN US","1952-01","0","29","5","-30","29","13.0","0.57","40","5967","1.48","27.0","8.0","19.5","-3.5",
"USC00211630","CLOQUET, MN US","1952-02","0","27","2","-9","28","11.0","0.40","37","7291","0.49","12.1","19.3","29.1","9.6",
"USC00211630","CLOQUET, MN US","1952-03","0","29","6","-20","30","5.8","0.49","45","8620","1.48","19.5","22.1","32.3","11.9",
"USC00211630","CLOQUET, MN US","1952-04","0","9","0","8","21","0.0","0.73","88","9245","1.52","0.0","44.2","59.9","28.5",
"USC00211630","CLOQUET, MN US","1952-05","4","0","0","26","0","0.0","0.50","88","9654","1.24","0.0","51.9","67.7","36.1",
"USC00211630","CLOQUET, MN US","1952-06","49","0","0","29","0","0.0","2.66","88","9773","6.12","0.0","62.6","76.0","49.1",
"USC00211630","CLOQUET, MN US","1952-07","135","0","0","37","0","0.0","3.06","88","39","7.78","0.0","66.5","79.0","54.0",
"USC00211630","CLOQUET, MN US","1952-08","172","0","0","35","0","0.0","1.08","88","149","4.14","0.0","62.7","75.2","50.1",
"USC00211630","CLOQUET, MN US","1952-09","196","0","0","20","0","0.0","0.47","85","393","0.61","0.0","56.7","69.5","43.9",
"USC00211630","CLOQUET, MN US","1952-10","196","0","0","6","0","0.5","0.28","75","1174","0.34","0.5","39.8","52.9","26.7",
"USC00211630","CLOQUET, MN US","1952-11","196","12","1","-16","8","7.2","0.55","62","2204","0.89","8.4","30.7","39.2","22.2",
"USC00211630","CLOQUET, MN US","1952-12","196","31","1","-9","8","1.0","0.07","39","3558","0.16","2.5","21.3","28.4","14.2",
"USC00211630","CLOQUET, MN US","1953-01","0","31","5","-29","21","7.2","0.70","38","5169","1.59","18.7","11.3","22.0","0.6",
"USC00211630","CLOQUET, MN US","1953-02","0","28","5","-27","24","5.8","0.41","35","6632","1.13","17.1","12.7","23.6","1.9",
"USC00211630","CLOQUET, MN US","1953-03","0","27","4","-23","26","3.1","0.59","51","7830","1.89","9.6","26.3","36.3","16.4",
"USC00211630","CLOQUET, MN US","1953-04","0","3","2","13","6","5.7","0.92","65","8675","2.60","10.8","36.8","47.0","26.7",
"USC00211630","CLOQUET, MN US","1953-05","7","0","0","18","0","0.0","2.33","87","9139","7.77","0.0","50.3","65.2","35.3",
"USC00211630","CLOQUET, MN US","1953-06","43","0","0","29","0","0.0","2.04","87","9290","7.55","0.0","61.1","74.2","48.1",
"USC00211630","CLOQUET, MN US","1953-07","103","0","0","38","0","0.0","2.15","87","49","6.89","0.0","65.4","78.6","52.2",
"USC00211630","CLOQUET, MN US","1953-08","203","0","0","43","0","0.0","1.75","89","97","7.13","0.0","66.6","78.7","54.5",
"USC00211630","CLOQUET, MN US","1953-09","234","0","0","28","0","0.0","0.37","89","386","0.98","0.0","56.4","68.4","44.4",
"USC00211630","CLOQUET, MN US","1953-10","243","0","0","19","0","0.0","0.21","85","845","0.32","0.0","50.5","63.9","37.1",
"USC00211630","CLOQUET, MN US","1953-11","243","9","2","-2","2","1.5","1.03","66","1786","2.01","3.0","33.6","43.6","23.6",
"USC00211630","CLOQUET, MN US","1953-12","243","31","10","-28","14","3.5","0.46","39","3293","1.56","18.3","16.4","25.9","6.9",
"USC00211630","CLOQUET, MN US","1954-01","0","31","8","-34","22","4.1","0.26","31","5162","1.31","25.2","4.7","15.3","-5.9",
"USC00211630","CLOQUET, MN US","1954-02","0","28","6","-21","20","3.7","0.20","50","6277","0.87","11.7","25.2","35.7","14.7",
"USC00211630","CLOQUET, MN US","1954-03","0","31","3","-10","21","4.8","0.77","46","7625","1.83","10.0","21.5","33.2","9.9",
"USC00211630","CLOQUET, MN US","1954-04","0","11","0","-7","21","0.5","1.21","70","8422","3.37","0.6","38.4","51.1","25.7",
"USC00211630","CLOQUET, MN US","1954-05","0","4","2","22","5","4.0","2.23","81","9011","5.98","6.5","46.0","58.1","33.9",
"USC00211630","CLOQUET, MN US","1954-06","35","0","0","32","0","0.0","1.15","87","9133","3.73","0.0","62.1","75.6","48.5",
"USC00211630","CLOQUET, MN US","1954-07","106","0","0","40","0","0.0","1.30","89","68","3.72","0.0","65.1","78.8","51.5",
"USC00211630","CLOQUET, MN US","1954-08","144","0","0","35","0","0.0","1.25","86","173","2.92","0.0","62.8","76.3","49.4",
"USC00211630","CLOQUET, MN US","1954-09","149","0","0","31","0","0.0","1.34","81","495","4.19","0.0","54.4","64.2","44.6",
"USC00211630","CLOQUET, MN US","1954-10","149","0","0","17","0","0.0","0.46","65","1188","1.23","0.0","42.7","51.8","33.5",
"USC00211630","CLOQUET, MN US","1954-11","149","12","5","5","4","3.0","0.29","60","2152","0.90","8.9","32.9","40.8","24.9",
"USC00211630","CLOQUET, MN US","1954-12","149","30","2","-4","5","1.2","0.09","38","3569","0.17","3.1","19.3","27.0","11.6",
"USC00211630","CLOQUET, MN US","1955-01","0","31","4","-29","13","4.1","0.31","35","5220","0.90","15.2","10.2","20.4","0.0",
"USC00211630","CLOQUET, MN US","1955-02","0","28","7","-19","23","5.3","0.37","35","6764","1.72","21.4","9.9","21.6","-1.8",
"USC00211630","CLOQUET, MN US","1955-03","0","31","6","-22","31","9.0","0.46","59","8228","1.42","23.3","17.8","31.3","4.2",
"USC00211630","CLOQUET, MN US","1955-04","0","7","1","18","10","6.5","0.62","79","8776","1.25","7.0","46.7","59.8","33.7",
"USC00211630","CLOQUET, MN US","1955-05","4","0","0","27","0","0.0","1.01","86","9090","2.62","0.0","55.0","70.6","39.4",
"USC00211630","CLOQUET, MN US","1955-06","45","0","0","37","0","0.0","0.93","92","9216","4.31","0.0","62.2","75.1","49.2",
"USC00211630","CLOQUET, MN US","1955-07","222","0","0","38","0","0.0","2.10","92","24","8.60","0.0","69.9","83.1","56.7",
"USC00211630","CLOQUET, MN US","1955-08","336","0","0","43","0","0.0","1.68","91","57","4.04","0.0","67.6","79.8","55.5",
"USC00211630","CLOQUET, MN US","1955-09","346","0","0","27","0","0.0","3.36","82","356","5.35","0.0","55.3","66.6","44.1",
