"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00217087","ROSEAU, MN US","1950-01","0","31","6","-42","26","6.0","0.25","24","6349","1.15","15.3","-12.2","-0.2","-24.3"
"USC00217087","ROSEAU, MN US","1950-02","0","28","3","-38","29","1.0","0.13","31","8029","0.30","3.5","2.7","17.4","-11.9"
"USC00217087","ROSEAU, MN US","1950-03","0","31","4","-35","25","7.0","0.26","45","9620","0.61","11.5","13.7","27.3","0.0"
"USC00217087","ROSEAU, MN US","1950-04","0","26","5","-11","20","3.5","0.27","50","10722","0.96","14.5","28.3","38.6","18.0"
"USC00217087","ROSEAU, MN US","1950-05","2","0","0","26","0","0.0","1.11","79","11208","3.78","0.0","48.9","59.8","37.9"
"USC00217087","ROSEAU, MN US","1950-06","38","0","0","35","0","0.0","1.40","88","11380","4.63","0.0","60.5","74.4","46.6"
"USC00217087","ROSEAU, MN US","1950-07","100","0","0","36","0","0.0","0.60","91","69","2.84","0.0","64.9","77.1","52.7"
"USC00217087","ROSEAU, MN US","1950-08","138","0","0","36","0","0.0","0.80","87","213","2.17","0.0","61.5","74.3","48.7"
"USC00217087","ROSEAU, MN US","1950-09","152","0","0","31","0","0.0","1.30","84","436","2.21","0.0","58.0","69.7","46.3"
"USC00217087","ROSEAU, MN US","1950-10","152","1","1","23","3","3.0","0.61","73","1017","1.12","3.0","46.3","55.6","36.9"
"USC00217087","ROSEAU, MN US","1950-11","152","22","5","-9","6","2.0","0.26","49","2294","0.96","7.0","21.0","28.2","13.7"
"USC00217087","ROSEAU, MN US","1950-12","152","31","2","-31","10","2.5","0.16","35","4084","0.31","4.0","3.5","12.8","-5.7"
"USC00217087","ROSEAU, MN US","1951-01","0","31","1","-40","11","1.5","0.12","35","6110","0.16","2.0","-0.4","11.0","-11.7"
"USC00217087","ROSEAU, MN US","1951-02","0","28","3","-36","16","4.0","0.30","37","7650","0.63","8.5","10.0","19.7","0.4"
"USC00217087","ROSEAU, MN US","1951-03","0","31","8","-20","15","2.0","0.27","43","9101","0.98","9.9","16.5","27.0","6.0"
"USC00217087","ROSEAU, MN US","1951-04","0","5","1","18","7","2.0","0.35","65","9903","1.22","2.0","38.3","48.0","28.6"
"USC00217087","ROSEAU, MN US","1951-05","11","0","0","30","0","0.0","0.33","86","10141","0.62","0.0","57.5","71.6","43.3"
"USC00217087","ROSEAU, MN US","1951-06","36","0","0","36","0","0.0","1.03","85","10325","1.70","0.0","59.7","72.2","47.1"
"USC00217087","ROSEAU, MN US","1951-07","133","0","0","41","0","0.0","1.47","94","66","2.37","0.0","66.0","80.2","51.9"
"USC00217087","ROSEAU, MN US","1951-08","161","0","0","42","0","0.0","0.70","93","172","5.24","0.0","62.3","73.8","50.7"
"USC00217087","ROSEAU, MN US","1951-09","162","0","0","19","0","0.0","0.45","79","548","1.69","0.0","52.5","63.3","41.7"
