STATION,NAME,DATE,AWND,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1950-01,,0,31,7,-29,15,3.9,0.31,31,5470,1.24,18.6,-2.5,7.7,-12.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1950-02,,0,28,0,-22,15,0.3,0.05,36,7004,0.13,1.1,10.2,21.5,-1.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1950-03,,0,31,4,-19,7,3.5,0.49,45,8400,1.83,12.4,20,28.4,11.6,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1950-04,,0,17,5,6,5,4.1,0.63,63,9411,2.22,14.6,31.3,38.5,24.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1950-05,,11,0,0,29,0,0.6,1.14,90,9847,4.6,0.6,51.3,61.5,41.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1950-06,,116,0,0,42,0,0,1.03,97,9940,2.7,0,65.4,77.5,53.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1950-07,,211,0,0,45,0,0,0.6,90,24,3.04,0,67.3,77.8,56.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1950-08,,292,0,0,38,0,0,0.75,93,110,0.94,0,64.8,76.7,52.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1950-09,,302,0,0,39,0,0,1.28,82,275,3.88,0,59.8,71.3,48.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1950-10,,302,0,0,24,0,0,1.12,76,806,1.59,0,47.9,58.3,37.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1950-11,,302,14,1,-12,3,2.3,0.29,64,2080,0.78,5.2,22.5,31.5,13.6,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1950-12,,302,31,4,-25,11,2.8,0.16,37,3870,0.77,9.5,7.2,16.5,-2.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1951-01,,0,31,4,-38,14,2.7,0.16,35,5834,0.56,10.2,1.7,11.8,-8.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1951-02,,0,28,2,-34,14,4.6,0.28,38,7261,0.69,6.8,14,22.8,5.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1951-03,,0,31,9,-21,32,7.6,0.54,42,8805,2.75,36.4,15.2,24.7,5.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1951-04,,0,12,1,20,6,2.2,0.93,76,9619,2.3,3.7,37.9,46.3,29.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1951-05,,3,0,0,31,0,0,0.66,81,9838,2.89,0,58,68.7,47.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1951-06,,21,0,0,37,0,0,1.35,83,10004,6.22,0,60.1,70.1,50,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1951-07,,158,0,0,48,0,0,1.62,91,27,2.8,0,68.5,79.4,57.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1951-08,,197,0,0,47,0,0,0.79,91,77,2.88,0,64.6,73.8,55.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1951-09,,197,0,0,28,0,0,0.48,82,434,1.36,0,53.1,62.9,43.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1951-10,,204,2,2,9,4,3.7,0.65,85,1097,2.9,7.1,43.8,53,34.6,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1951-11,,204,27,2,-16,6,3.3,1.06,49,2424,1.67,7.6,20.8,29,12.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1951-12,,204,30,4,-27,9,3,1.34,49,4169,2.02,11.9,8.7,17.2,0.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1952-01,,0,31,3,-32,20,7.3,0.58,38,6056,1.28,15,4.1,16,-7.8,,,,,
